D,avg_yr_l,avg_yr_h,avg_wi,avg_sp,avg_su,avg_fa,IATA,LAT_DEC,LON_DEC,HEIGHT
CUN,72,86,75,81,83,77,CUN,21.036,-86.877,7
TPA,66,81,64,78,82,70,TPA,27.975,-82.533,8
CUC,75,88,80,82,84,80,CUC,7.928,-72.511,335
COR,54,75,73,59,56,70,COR,-31.324,-64.208,489
DEN,39,64,36,58,70,41,DEN,39.858,-104.667,1656
LAS,59,81,55,78,88,59,LAS,36.08,-115.152,665
ROS,55,74,74,58,55,70,ROS,-32.903,-60.784,26
SXM,78,86,79,82,84,82,SXM,18.041,-63.109,4
MTY,64,84,65,80,83,67,MTY,25.778,-100.107,388
BLA,79,88,82,84,85,83,BLA,10.107,-64.689,8
POS,74,88,80,82,82,81,POS,10.595,-61.337,18
SFO,52,65,53,59,64,56,SFO,37.619,-122.375,4
BOS,45,59,34,59,70,45,BOS,42.364,-71.005,6
KIN,78,87,80,83,85,82,KIN,17.936,-76.787,4
LIR,66,87,81,76,74,77,LIR,10.593,-85.544,83
ORD,43,59,31,60,71,42,ORD,41.979,-87.904,204
PBC,49,73,58,64,63,58,PBC,19.158,-98.371,2250
CNF,63,80,74,69,68,73,CNF,-19.634,-43.969,828
GDL,53,81,62,72,70,63,GDL,20.522,-103.311,1528
IAD,46,66,39,64,74,47,IAD,38.944,-77.456,96
VCP,62,81,76,69,68,74,VCP,-23.008,-47.134,662
NAS,73,84,73,80,84,77,NAS,25.039,-77.466,5
AUA,79,88,82,84,85,83,AUA,12.501,-70.015,19
PBM,77,90,81,84,86,83,PBM,5.453,-55.188,18
ATL,55,72,50,71,78,55,ATL,33.64,-84.427,313
PAP,77,90,81,84,86,83,PAP,18.58,-72.293,37
MCO,64,82,64,77,82,69,MCO,28.429,-81.316,30
POA,61,77,77,64,62,72,POA,-29.994,-51.171,4
PTY,75,88,82,82,81,80,PTY,9.071,-79.383,42
SDQ,72,87,76,80,82,79,SDQ,18.429,-69.669,18
MEX,52,75,60,67,65,60,MEX,19.436,-99.072,2230
CUR,79,88,81,84,85,83,CUR,12.189,-68.960,10
FLL,72,83,70,79,84,75,FLL,26.072,-80.153,3
PEI,65,79,72,72,72,71,PEI,4.813,-75.739,1346
SSA,75,84,82,80,77,80,SSA,-12.911,-38.331,20
BGA,79,88,82,84,85,83,BGA,7.126,-73.185,1188
PVR,70,85,71,78,83,78,PVR,20.68,-105.254,7
SJU,75,86,78,81,83,80,SJU,18.439,-66.002,3
VSA,72,89,77,84,83,78,VSA,17.997,-92.817,14
STI,70,87,75,80,82,78,STI,19.409,-70.616,173
BGI,79,88,82,84,85,83,BGI,13.074,-59.492,52
MAO,75,89,81,81,83,82,MAO,-3.039,-60.050,81
REC,76,86,84,81,79,82,REC,-8.126,-34.923,11
YUL,38,53,22,56,67,36,YUL,45.468,-73.741,36
BZE,75,86,77,83,83,78,BZE,17.539,-88.308,5
SMR,78,90,84,85,84,83,SMR,11.119,-74.231,7
ADZ,79,85,81,82,83,82,ADZ,12.583,-81.711,6
BSB,62,82,74,70,70,74,BSB,-15.862,-47.913,1061
MBJ,76,86,78,82,83,81,MBJ,18.504,-77.913,2
SAL,74,91,82,83,82,82,SAL,13.441,-89.056,31
CTG,78,87,81,83,84,82,CTG,10.442,-75.513,2
SLA,53,74,70,58,57,69,SLA,-24.856,-65.486,1243
MSY,62,78,58,76,82,64,MSY,29.993,-90.258,2
AXM,79,88,82,84,85,83,AXM,4.454,-75.765,1219
PUJ,75,85,78,81,83,80,PUJ,18.567,-68.363,13
GUA,53,81,62,72,70,63,GUA,14.583,-90.528,1510
TGU,63,82,70,75,74,70,TGU,14.061,-87.217,1005
SAP,72,88,77,83,82,78,SAP,15.452,-87.923,28
JFK,49,62,38,63,74,49,JFK,40.64,-73.779,4
LAX,57,75,60,67,74,63,LAX,33.942,-118.408,39
MIA,71,83,71,79,83,75,MIA,25.793,-80.291,3
ASU,66,83,81,70,68,78,ASU,-25.24,-57.519,90
VVI,67,83,78,72,72,78,VVI,-17.645,-63.135,374
GEO,75,85,79,80,82,81,GEO,0.0,0.000,0
UIO,48,65,56,57,57,57,UIO,-0.141,-78.488,2813
GYE,73,85,81,80,77,78,GYE,-2.158,-79.884,5
HAV,70,84,72,79,82,76,HAV,22.989,-82.409,65
SNU,67,84,72,77,80,74,SNU,22.492,-79.944,104
HOG,70,86,75,80,82,77,HOG,20.786,-76.315,111
EZE,58,70,74,59,55,68,EZE,0.0,0.000,0
